"task name, date created, date completed, completion status, priority, time to complete"
"Task 1, 2023-01-01, 2023-01-05, Completed, High, 2 hours"
"Task 2, 2023-01-02, , Incomplete, Medium, 1.5 hours"
"Task 3, 2023-01-03, , Incomplete, Low, 3 hours"
"Task 4, 2023-01-04, 2023-01-06, Completed, High, 2.5 hours"
"Task 5, 2023-01-05, , Incomplete, Medium, 1 hour"
"Task 6, 2023-01-06, , Incomplete, Low, 2 hours"
"Task 7, 2023-01-07, 2023-01-10, Completed, High, 3 hours"
"Task 8, 2023-01-08, , Incomplete, Medium, 1.5 hours"
"Task 9, 2023-01-09, 2023-01-12, Completed, Low, 2 hours"
"Task 10, 2023-01-10, , Incomplete, High, 1 hour"
"Task 11, 2023-01-11, , Incomplete, Medium, 4 hours"
"Task 12, 2023-01-12, 2023-01-15, Completed, Low, 2.5 hours"
"Task 13, 2023-01-13, , Incomplete, High, 1.5 hours"
"Task 14, 2023-01-14, , Incomplete, Medium, 3 hours"
"Task 15, 2023-01-15, , Incomplete, Low, 1 hour"
"Task 16, 2023-01-16, 2023-01-20, Completed, High, 2 hours"
"Task 17, 2023-01-17, , Incomplete, Medium, 1.5 hours"
"Task 18, 2023-01-18, , Incomplete, Low, 2 hours"
"Task 19, 2023-01-19, , Incomplete, High, 3 hours"
"Task 20, 2023-01-20, 2023-01-25, Completed, Medium, 1 hour"
"Task 21, 2023-01-21, , Incomplete, Low, 2.5 hours"
"Task 22, 2023-01-22, , Incomplete, High, 1.5 hours"
"Task 23, 2023-01-23, , Incomplete, Medium, 3 hours"
"Task 24, 2023-01-24, , Incomplete, Low, 1 hour"
"Task 25, 2023-01-25, 2023-01-28, Completed, High, 2 hours"
"Task 26, 2023-01-26, , Incomplete, Medium, 1.5 hours"
"Task 27, 2023-01-27, , Incomplete, Low, 2 hours"
"Task 28, 2023-01-28, , Incomplete, High, 3 hours"
"Task 29, 2023-01-29, , Incomplete, Medium, 1 hour"
"Task 30, 2023-01-30, 2023-02-02, Completed, Low, 2.5 hours"
